Artikelnummer;Name;Einheit;Preis
2384;Starterset Whimsy 100% (24 colours and 6 shelfs);1;780,00
2385;Starterset Sway 100% (24 colours and 6 shelfs);1;684,00
2406;Starterset Bloom 100% (20 colours and 5 shelfs);1;650,00
2383;Starterset FLASH! Earrings;1;360,00
2386;Starterset Sway 50% * 24 Colors;1;336,00
1999;Rainbow Set Regal;1;300,00
2104;Rainbow Set Regal;1;300,00
1791;Starterset RS * Stabkerzen;1;288,00
1792;Starterset RS * Twisted;1;288,00
2456;Lamaherde grande * lila (inkl. 60 Lama medium und 30 Lama mini);1;255,00
2457;Glow Bow Curly (inkl. 50 Double Curly);1;250,00
2459;Waxmas Tree Curly (inkl. 50 Double Curly);1;250,00
1794;Starterset RS * 1er Stumpe;1;192,00
1795;Starterset RS * 2er Stumpe;1;192,00
1793;Starterset RS * Curly;1;192,00
2452;Lamaherde klein * lila (inkl. 60 Lama medium);1;180,00
2454;Lamaherde klein * mint (inkl. 60 Lama medium);1;180,00
2453;Lamaherde klein * pink (inkl. 60 Lama medium);1;180,00
2455;Lamaherde klein * yellow (inkl. 60 Lama medium);1;180,00
2001;Rainbow Set Kerzenständer;1;180,00
2105;Rainbow Set Kerzenständer;1;180,00
1526;Starterset Tray A4;1;138,00
1527;Starterset Tray A5;1;114,00
1532;Starterset Tray Kombi;1;114,00
2110;Starterset Hole Tray A4;1;108,00
1523;Starterset Dipper Boob;1;90,00
1524;Starterset Dipper Cube;1;90,00
1520;Starterset Flipper Boob;1;90,00
1519;Starterset Flipper Cube;1;90,00
1528;Starterset Tray A6;1;90,00
2028;Starterset Hole Tray A5;1;84,00
1787;Starterset Hole Tray Kombi;1;84,00
1522;Starterset Dipper Tube;1;60,00
1521;Starterset Flipper Tube;1;60,00
2029;Starterset Hole Tray A6;1;60,00
1086;Glitzer Blau (Eisblau);1;50,00
1085;Glitzer Champagner;1;50,00
1076;Glitzer Mint;1;50,00
1082;Glitzer Neon Flamingo;1;50,00
